"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-223 0.424348186705418 2 19 "GO:0000009;GO:0000033;GO:0003980;GO:0004376;GO:0004583;GO:0008921;GO:0016759;GO:0018715;GO:0018716;GO:0019112;GO:0018717;GO:0018718;GO:0019187;GO:0042281;GO:0042283;GO:0046920;GO:0046921" "glycolipid mannosyltransferase activity" 0.875335176790844
-201 0.418505925138229 5 24 "GO:0000030;GO:0000026" "mannosyltransferase activity" 0.874168918396207
-318 0.328757367366292 3 14 "GO:0000175;GO:0016896;GO:0004532" "3'-5'-exoribonuclease activity" 0.807442545124904
-603 0.0639183308067606 3 14 "GO:0000179;GO:0016433;GO:0008650;GO:0016436;GO:0016435;GO:0009008;GO:0003880;GO:0008175;GO:0016205;GO:0051995;GO:0016273;GO:0016274;GO:0016300;GO:0016423;GO:0016426;GO:0016427;GO:0018423;GO:0018707;GO:0019702;GO:0030792" "rRNA (adenine) methyltransferase activity" 0.510325911399405
79 0.815772544787139 7 13 "GO:0000810;GO:0004787;GO:0017110;GO:0008758;GO:0008828;GO:0047429;GO:0019176;GO:0019177" "nucleoside-diphosphatase activity" 0.96483430165233
-112 0.695886578981671 2 18 "GO:0001104;GO:0001076" "RNA polymerase II transcription cofactor activity" 0.957111694784021
173 0.727421442300175 3 6 "GO:0001517;GO:0001537;GO:0004394;GO:0015016;GO:0016232;GO:0017095;GO:0018721;GO:0018722;GO:0019111;GO:0018723;GO:0018724;GO:0018725;GO:0018726;GO:0018727;GO:0050659;GO:0050698" "N-acetylgalactosamine 4-O-sulfotransferase activity" 0.96483430165233
-59 0.7817047378233 -1 33 "GO:0001584" "rhodopsin-like receptor activity" 0.96483430165233
-95 0.145044713975056 3 377 "GO:0003677" "DNA binding" 0.643362313514325
-333 0.386748251813708 2 10 "GO:0003682" "chromatin binding" 0.85200559002196
-218 0.518080700569215 2 13 "GO:0003684" "damaged DNA binding" 0.936545368828878
-183 0.050521338417005 2 176 "GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.452943351354492
1269 0.0106659264613012 -1 6 "GO:0003702" "RNA polymerase II transcription factor activity" 0.250929954115876
-115 0.63766119225425 2 25 "GO:0003712;GO:0000989;GO:0000988" "transcription cofactor activity" 0.936545368828878
-172 0.639894124508361 3 11 "GO:0003713" "transcription coactivator activity" 0.936545368828878
-106 0.348021846251998 2 120 "GO:0003723" "RNA binding" 0.827477474865123
571 0.138330893367431 3 10 "GO:0003725" "double-stranded RNA binding" 0.637462982837543
-75 0.588077984123343 2 78 "GO:0003735" "structural constituent of ribosome" 0.936545368828878
-323 0.123122280222212 5 34 "GO:0003743" "translation initiation factor activity" 0.61247808287133
-382 0.225095078319574 4 15 "GO:0003746" "translation elongation factor activity" 0.763945160357174
-572 0.0131412744833982 2 28 "GO:0003755;GO:0016859;GO:0004600;GO:0030051;GO:0042027" "cis-trans isomerase activity" 0.29370748470395
349 0.224226132126727 4 18 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.763945160357174
-149 0.433488343576752 2 41 "GO:0003774" "motor activity" 0.876784115741213
-251 0.302808087477167 2 25 "GO:0003777" "microtubule motor activity" 0.778966040333043
146 0.486978257116143 4 34 "GO:0003779" "actin binding" 0.926294812471983
329 0.545324191170315 -1 5 "GO:0003812" "alternative-complement-pathway C3/C5 convertase activity" 0.936545368828878
-595 0.196128261715976 5 7 "GO:0003840" "gamma-glutamyltransferase activity" 0.725768605621133
-223 0.654152085021616 2 6 "GO:0003841;GO:0042171;GO:0071617" "1-acylglycerol-3-phosphate O-acyltransferase activity" 0.936545368828878
-388 0.0142076838869375 5 60 "GO:0003847" "1-alkyl-2-acetylglycerophosphocholine esterase activity" 0.302420699879098
-1130 0.037793717713905 3 5 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 0.422344795452888
259 0.546618202793684 2 8 "GO:0003858" "3-hydroxybutyrate dehydrogenase activity" 0.936545368828878
89 0.846212199561095 5 7 "GO:0003884" "D-amino-acid oxidase activity" 0.96483430165233
-95 0.714608932722695 6 22 "GO:0003887;GO:0034061" "DNA polymerase activity" 0.96483430165233
-84 0.614494176144359 5 54 "GO:0003899;GO:0034062" "DNA-directed RNA polymerase activity" 0.936545368828878
-33 0.891308645716916 -1 25 "GO:0003900;GO:0003901;GO:0003902" "DNA-directed RNA polymerase I activity" 0.98652480058625
99 0.829684256027268 2 7 "GO:0003906" "DNA-(apurinic or apyrimidinic site) lyase activity" 0.96483430165233
-501 0.313271389339053 4 6 "GO:0003913" "DNA photolyase activity" 0.795638130878163
-197 0.17912763760773 7 70 "GO:0003924" "GTPase activity" 0.710715595415065
-185 0.295394499992426 -1 48 "GO:0003925" "small monomeric GTPase activity" 0.778966040333043
172 0.584274930837301 -1 15 "GO:0003936" "hydrogen-transporting two-sector ATPase activity" 0.936545368828878
660 0.125224867446353 3 8 "GO:0003943" "N-acetylgalactosamine-4-sulfatase activity" 0.61247808287133
-530 0.24936177415401 5 7 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.778966040333043
654 0.155187385341398 2 7 "GO:0003960" "NADPH:quinone reductase activity" 0.662659534789532
-888 0.102561474989017 3 5 "GO:0003988" "acetyl-CoA C-acyltransferase activity" 0.61247808287133
213 0.445589438950874 6 19 "GO:0003993" "acid phosphatase activity" 0.885237685382403
79 0.82234925026004 4 12 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.96483430165233
-489 0.000263772144151943 2 84 "GO:0004003;GO:0003678;GO:0008094;GO:0004004;GO:0003724;GO:0008186;GO:0015462;GO:0015450;GO:0008320;GO:0022884;GO:0015616;GO:0017116;GO:0043142;GO:0042624" "DNA-dependent ATPase activity" 0.0589530742179593
477 0.380837838845703 3 5 "GO:0004012;GO:0005548" "phospholipid-translocating ATPase activity" 0.85200559002196
-320 0.51966250566478 3 6 "GO:0004016;GO:0008294" "adenylate cyclase activity" 0.936545368828878
16 0.969705765123124 2 8 "GO:0004029;GO:0047105" "aldehyde dehydrogenase (NAD) activity" 0.993997930579758
