isogroup rlog
isogroup=1050 -3.88568753507838
isogroup=10506 -3.88568753507838
isogroup=10631 -3.88568753507838
isogroup=10737 -3.88568753507838
isogroup=10742 -3.88568753507838
isogroup=10748 -3.88568753507838
isogroup=10775 -3.88568753507838
isogroup=11080 -3.88568753507838
isogroup=113 -3.88568753507838
isogroup=11399 -3.88568753507838
isogroup=11694 -3.88568753507838
isogroup=11883 -3.88568753507838
isogroup=11944 -3.88568753507838
isogroup=12103 -3.88568753507838
isogroup=12518 -3.88568753507838
isogroup=12784 -3.88568753507838
isogroup=12851 -3.88568753507838
isogroup=1289 -3.88568753507838
isogroup=12924 -3.88568753507838
isogroup=13016 -3.88568753507838
isogroup=13153 -3.88568753507838
isogroup=13206 -3.88568753507838
isogroup=13666 -3.88568753507838
isogroup=13782 -3.88568753507838
isogroup=13804 -3.88568753507838
isogroup=13852 -3.88568753507838
isogroup=13977 -3.88568753507838
isogroup=14103 -3.88568753507838
isogroup=14201 -3.88568753507838
isogroup=14228 -3.88568753507838
isogroup=14265 -3.88568753507838
isogroup=14328 -3.88568753507838
isogroup=14331 -3.88568753507838
isogroup=1466.2 -3.88568753507838
isogroup=14680 -3.88568753507838
isogroup=14762 -3.88568753507838
isogroup=14858 -3.88568753507838
isogroup=15140 -3.88568753507838
isogroup=15274 -3.88568753507838
isogroup=153 -3.88568753507838
isogroup=15688 -3.88568753507838
isogroup=15779 -3.88568753507838
isogroup=15813 -3.88568753507838
isogroup=15862 -3.88568753507838
isogroup=16066 -3.88568753507838
isogroup=16150 -3.88568753507838
isogroup=16168 -3.88568753507838
isogroup=16246 -3.88568753507838
isogroup=16486.1 -3.88568753507838
isogroup=1671 -3.88568753507838
isogroup=16722 -3.88568753507838
isogroup=16772 -3.88568753507838
isogroup=16955 -3.88568753507838
isogroup=170 -3.88568753507838
isogroup=17021 -3.88568753507838
isogroup=17146 -3.88568753507838
isogroup=17292 -3.88568753507838
isogroup=17331 -3.88568753507838
isogroup=17491 -3.88568753507838
isogroup=17543 -3.88568753507838
isogroup=17911 -3.88568753507838
isogroup=18090 -3.88568753507838
isogroup=18093 -3.88568753507838
isogroup=1813 -3.88568753507838
isogroup=18271 -3.88568753507838
isogroup=18457 -3.88568753507838
isogroup=18473 -3.88568753507838
isogroup=18519 -3.88568753507838
isogroup=18554 -3.88568753507838
isogroup=18583 -3.88568753507838
isogroup=18655 -3.88568753507838
isogroup=18718 -3.88568753507838
isogroup=18799 -3.88568753507838
isogroup=18850 -3.88568753507838
isogroup=18882 -3.88568753507838
isogroup=18905 -3.88568753507838
isogroup=19114 -3.88568753507838
isogroup=19141 -3.88568753507838
isogroup=19151 -3.88568753507838
isogroup=19163 -3.88568753507838
isogroup=19347 -3.88568753507838
isogroup=19409 -3.88568753507838
isogroup=19431 -3.88568753507838
isogroup=19447 -3.88568753507838
isogroup=19455 -3.88568753507838
isogroup=19463 -3.88568753507838
isogroup=19558 -3.88568753507838
isogroup=19687 -3.88568753507838
isogroup=19794 -3.88568753507838
isogroup=19909 -3.88568753507838
isogroup=19922 -3.88568753507838
isogroup=20094 -3.88568753507838
isogroup=20296 -3.88568753507838
isogroup=20344 -3.88568753507838
isogroup=20614 -3.88568753507838
isogroup=20662 -3.88568753507838
isogroup=20755 -3.88568753507838
isogroup=20783 -3.88568753507838
isogroup=2082 -3.88568753507838
isogroup=21007 -3.88568753507838
isogroup=21110 -3.88568753507838
isogroup=21532 -3.88568753507838
isogroup=2162 -3.88568753507838
isogroup=21649 -3.88568753507838
isogroup=21670 -3.88568753507838
isogroup=21793 -3.88568753507838
isogroup=21842 -3.88568753507838
isogroup=21904 -3.88568753507838
isogroup=22002 -3.88568753507838
isogroup=22028 -3.88568753507838
isogroup=22115 -3.88568753507838
isogroup=22216 -3.88568753507838
isogroup=22230 -3.88568753507838
isogroup=22334 -3.88568753507838
isogroup=22465 -3.88568753507838
isogroup=22584 -3.88568753507838
isogroup=22705 -3.88568753507838
isogroup=22884 -3.88568753507838
isogroup=22903 -3.88568753507838
isogroup=22935 -3.88568753507838
isogroup=22947 -3.88568753507838
isogroup=22971 -3.88568753507838
isogroup=23012 -3.88568753507838
isogroup=23131 -3.88568753507838
