term	nseqs	delta.rank	pval	padj
5	Signal transduction mechanisms	4867	-1428	1.94064137001025e-84	4.46347515102358e-83
8	Replication, recombination and repair	501	1879	3.29999678033663e-23	3.79499629738712e-22
4	Translation, ribosomal structure and biogenesis	428	1941	2.05533267313244e-21	1.57575504940154e-20
6	RNA processing and modification 	580	1668	3.38303304553888e-21	1.94524400118486e-20
15	Intracellular trafficking, secretion, and vesicular transport	528	1634	8.74683054623838e-19	4.02354205126965e-18
20	Extracellular structures	321	-2067	1.43468750446442e-18	5.49963543378028e-18
13	Energy production and conversion	354	1951	3.08963615833227e-18	1.01516616630917e-17
11	Cell cycle control, cell division, chromosome partitioning	370	1243	1.43514909471539e-08	4.12605364730675e-08
14	Defense mechanisms	621	-845	7.56752826507285e-07	1.93392388996306e-06
12	Nuclear structure	105	2001	9.23592867558215e-07	2.12426359538389e-06
21	Nucleotide transport and metabolism	122	1639	1.4927365563173e-05	3.05360473368267e-05
3	Chromatin structure and dynamics	260	1125	1.59318507844313e-05	3.05360473368267e-05
18	Lipid transport and metabolism	399	863	4.4676375411814e-05	7.90428180362863e-05
9	Posttranslational modification, protein turnover, chaperones	1522	419	0.000207371221745362	0.00034068129286738
19	Coenzyme transport and metabolism	82	1606	0.00049425658998354	0.000757860104641428
10	Amino acid transport and metabolism	511	-627	0.00083040092604312	0.00119370133118699
17	Carbohydrate transport and metabolism	491	-543	0.00449472400226349	0.00608109717953296
23	Cell motility	56	-1524	0.00627401891314365	0.00801680194457244
2	Transcription	953	228	0.102640169787144	0.124248626584437
16	Secondary metabolites biosynthesis, transport and catabolism	220	-405	0.152492033906131	0.175365838992051
22	Cell wall/membrane/envelope biogenesis	233	-183	0.506624918750939	0.554874911012933
1	Inorganic ion transport and metabolism	206	-119	0.683162339372397	0.714215172980233
7	Cytoskeleton	693	47	0.770997955849742	0.770997955849742
